"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"SPRINTF_OBJ_580","0000bad4","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_594","0000bae8","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_5A0","0000baf4","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_5A8","0000bafc","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_5D8","0000bb2c","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_608","0000bb5c","Instruction Label","Global","Imported","2","0"
"SPRINTF_OBJ_61C","0000bb70","Instruction Label","Global","Imported","2","0"
"SPRINTF_OBJ_624","0000bb78","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_644","0000bb98","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_65C","0000bbb0","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_678","0000bbcc","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_6A8","0000bbfc","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_6C8","0000bc1c","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_718","0000bc6c","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_734","0000bc88","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_754","0000bca8","Function","Global","User Defined","0","0"
"SPRINTF_OBJ_780","0000bcd4","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_788","0000bcdc","Function","Global","User Defined","1","0"
"SPRINTF_OBJ_794","0000bce8","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_7A0","0000bcf4","Function","Global","User Defined","6","0"
"SPRINTF_OBJ_7C8","0000bd1c","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_7F0","0000bd44","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_7F4","0000bd48","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_810","0000bd64","Instruction Label","Global","Imported","1","0"
"SPRINTF_OBJ_82C","0000bd80","Function","Global","User Defined","1","0"
"SPRINTF_OBJ_84C","0000bda0","Instruction Label","Global","Imported","2","0"
"memchr","0000bde4","Function","Global","User Defined","0","0"
"memmove","0000bdf4","Function","Global","User Defined","0","0"
"MEMMOVE_OBJ_18","0000be0c","Instruction Label","Global","Imported","1","0"
"MEMMOVE_OBJ_3C","0000be30","Instruction Label","Global","Imported","1","0"
