"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"SPU_OBJ_604","00023a10","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_630","00023a3c","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_658","00023a64","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_674","00023a80","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_69C","00023aa8","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_6C4","00023ad0","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_6E0","00023aec","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_704","00023b10","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_71C","00023b28","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_73C","00023b48","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_75C","00023b68","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_780","00023b8c","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_78C","00023b98","Function","Global","User Defined","0","0"
"SPU_OBJ_800","00023c0c","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_814","00023c20","Function","Global","User Defined","3","0"
"_spu_Fw","00023c30","Function","Global","Imported","0","0"
"SPU_OBJ_884","00023c90","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_894","00023ca0","Function","Global","User Defined","0","0"
"_spu_Fr","00023cb4","Function","Global","Imported","0","0"
"_spu_FsetRXX","00023d18","Function","Global","User Defined","0","0"
"SPU_OBJ_92C","00023d38","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_948","00023d54","Function","Global","User Defined","0","0"
"_spu_FsetRXXa","00023d5c","Function","Global","User Defined","0","0"
"SPU_OBJ_980","00023d8c","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_9A0","00023dac","Instruction Label","Global","Imported","2","0"
"SPU_OBJ_9D0","00023ddc","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_9D8","00023de4","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_9EC","00023df8","Function","Global","User Defined","0","0"
"_spu_FgetRXXa","00023e00","Function","Global","User Defined","0","0"
"SPU_OBJ_A24","00023e30","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_A28","00023e34","Function","Global","User Defined","0","0"
"_spu_FsetPCR","00023e3c","Function","Global","User Defined","0","0"
"SPU_OBJ_A68","00023e74","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_A7C","00023e88","Function","Global","User Defined","0","0"
"SPU_OBJ_A88","00023e94","Function","Global","User Defined","0","0"
"SPU_OBJ_AB0","00023ebc","Function","Global","User Defined","0","0"
"_spu_Fw1ts","00023ee4","Function","Global","Imported","0","0"
"SPU_OBJ_AEC","00023ef8","Instruction Label","Global","Imported","1","0"
"SPU_OBJ_B18","00023f24","Function","Global","User Defined","0","0"
"DeliverEvent","00023f4c","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_0","00023fe4","Instruction Label","Global","Imported","0","0"
"DSSYS_2_OBJ_10","00023ff4","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_30","00024014","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_60","00024044","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_98","0002407c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_D4","000240b8","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_108","000240ec","Instruction Label","Global","Imported","1","0"
"DS_CQ_flush","00024100","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_138","0002411c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_148","0002412c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_17C","00024160","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_1D4","000241b8","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1F0","000241d4","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_204","000241e8","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_240","00024224","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_28C","00024270","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_2B4","00024298","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_2E4","000242c8","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_300","000242e4","Function","Global","Imported","2","0"
"DSSYS_2_OBJ_304","000242e8","Instruction Label","Global","Imported","2","0"
"DSSYS_2_OBJ_31C","00024300","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_334","00024318","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_358","0002433c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_368","0002434c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_3A4","00024388","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_3C4","000243a8","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_3F4","000243d8","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_454","00024438","Instruction Label","Global","Imported","2","0"
"DSSYS_2_OBJ_464","00024448","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_4F0","000244d4","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_50C","000244f0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_554","00024538","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_564","00024548","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_57C","00024560","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_5A0","00024584","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_5BC","000245a0","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_5C4","000245a8","Instruction Label","Global","Imported","2","0"
"DSSYS_2_OBJ_5CC","000245b0","Function","Global","User Defined","3","0"
"DSSYS_2_OBJ_5E8","000245cc","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_668","0002464c","Function","Global","Imported","9","0"
"DSSYS_2_OBJ_688","0002466c","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_704","000246e8","Instruction Label","Global","Imported","1","0"
"DsInit","000246f8","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_768","0002474c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_7A4","00024788","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_7DC","000247c0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_844","00024828","Instruction Label","Global","Imported","1","0"
"DsReset","0002483c","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_8A4","00024888","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_8E0","000248c4","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_918","000248fc","Instruction Label","Global","Imported","1","0"
"DsCommand","00024948","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_9FC","000249e0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_A30","00024a14","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_A34","00024a18","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_AB4","00024a98","Instruction Label","Global","Imported","3","0"
"DSSYS_2_OBJ_ABC","00024aa0","Instruction Label","Global","Imported","2","0"
"DSSYS_2_OBJ_AFC","00024ae0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_B2C","00024b10","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_B30","00024b14","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_BB0","00024b94","Instruction Label","Global","Imported","4","0"
"DsPacket","00024bbc","Function","Global","Imported","0","0"
"_DsPacket2","00024bf0","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_C54","00024c38","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_C84","00024c68","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_D10","00024cf4","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_D74","00024d58","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_D80","00024d64","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_DC8","00024dac","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_DCC","00024db0","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_E20","00024e04","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_E84","00024e68","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_E90","00024e74","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_ED8","00024ebc","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_EDC","00024ec0","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_F28","00024f0c","Instruction Label","Global","Imported","3","0"
"DSSYS_2_OBJ_F7C","00024f60","Function","Global","User Defined","2","0"
"DSSYS_2_OBJ_F80","00024f64","Function","Global","User Defined","6","0"
"DsSync","00024f90","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_FE0","00024fc4","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1008","00024fec","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1044","00025028","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1048","0002502c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1070","00025054","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_107C","00025060","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_10A0","00025084","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_10B8","0002509c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_10DC","000250c0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_10FC","000250e0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1114","000250f8","Instruction Label","Global","Imported","2","0"
"DSSYS_2_OBJ_1168","0002514c","Function","Global","User Defined","1","0"
"DSSYS_2_OBJ_1184","00025168","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1188","0002516c","Function","Global","User Defined","1","0"
"DsReady","00025180","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_11DC","000251c0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_11FC","000251e0","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1214","000251f8","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_1220","00025204","Instruction Label","Global","Imported","1","0"
"DsQueueLen","00025214","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_1240","00025224","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_12D0","000252b4","Instruction Label","Global","Imported","4","0"
"DSSYS_2_OBJ_12E4","000252c8","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_1328","0002530c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_132C","00025310","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_134C","00025330","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1358","0002533c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1368","0002534c","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_1374","00025358","Function","Global","User Defined","0","0"
"DSSYS_2_OBJ_1388","0002536c","Function","Global","User Defined","1","0"
"DSSYS_2_OBJ_13A4","00025388","Instruction Label","Global","Imported","1","0"
"DSSYS_2_OBJ_13B8","0002539c","Function","Global","Imported","0","0"
"DSSYS_2_OBJ_13D4","000253b8","Instruction Label","Global","Imported","1","0"
"DS_init","000253d4","Function","Global","Imported","0","0"
"DS_reset_members","00025474","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_C4","00025498","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_E8","000254bc","Instruction Label","Global","Imported","1","0"
"DS_close","00025554","Function","Global","Imported","0","0"
"DS_cw","00025594","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_228","000255fc","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_22C","00025600","Function","Global","User Defined","2","0"
"DS_vsync_callback","00025610","Function","Global","User Defined","0","0"
"DS_sync_callback","0002561c","Function","Global","User Defined","0","0"
"DS_ready_callback","00025628","Function","Global","User Defined","0","0"
"DS_start_callback","00025634","Function","Global","User Defined","0","0"
"DS_system_status","00025640","Function","Global","User Defined","0","0"
"DS_lastcom","00025658","Function","Global","User Defined","0","0"
"DS_lastmode","00025668","Function","Global","User Defined","0","0"
"DS_lastpos","00025678","Function","Global","User Defined","0","0"
"DS_lastseek","00025684","Function","Global","User Defined","0","0"
"DS_lastread","00025694","Function","Global","User Defined","0","0"
"DS_status","000256a4","Function","Global","User Defined","0","0"
"DS_shell_open","000256b4","Function","Global","User Defined","0","0"
"DS_cw_system","000256c4","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_320","000256f4","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_330","00025704","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_378","0002574c","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_37C","00025750","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_3B4","00025788","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_3B8","0002578c","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_3F0","000257c4","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_424","000257f8","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_43C","00025810","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_450","00025824","Function","Global","User Defined","5","0"
"DSSYS_1_OBJ_49C","00025870","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_4A0","00025874","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_4A4","00025878","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_4D4","000258a8","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_4F0","000258c4","Function","Global","User Defined","1","0"
"DSSYS_1_OBJ_508","000258dc","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_544","00025918","Instruction Label","Global","Imported","2","0"
"DSSYS_1_OBJ_560","00025934","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_574","00025948","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_5DC","000259b0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_5E8","000259bc","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_60C","000259e0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_618","000259ec","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_634","00025a08","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_674","00025a48","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_69C","00025a70","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_6AC","00025a80","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_6CC","00025aa0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_6EC","00025ac0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_708","00025adc","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_710","00025ae4","Instruction Label","Global","Imported","4","0"
"DSSYS_1_OBJ_71C","00025af0","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_724","00025af8","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_72C","00025b00","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_734","00025b08","Function","Global","User Defined","8","0"
"DSSYS_1_OBJ_770","00025b44","Instruction Label","Global","Imported","2","0"
"DSSYS_1_OBJ_798","00025b6c","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_7A0","00025b74","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_7C8","00025b9c","Function","Global","User Defined","2","0"
"DSSYS_1_OBJ_7D8","00025bac","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_82C","00025c00","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_830","00025c04","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_860","00025c34","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_8CC","00025ca0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_8D0","00025ca4","Instruction Label","Global","Imported","3","0"
"DSSYS_1_OBJ_8F0","00025cc4","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_910","00025ce4","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_924","00025cf8","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_934","00025d08","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_93C","00025d10","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_958","00025d2c","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_970","00025d44","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_9D8","00025dac","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_9E8","00025dbc","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_9FC","00025dd0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_A0C","00025de0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_A1C","00025df0","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_A20","00025df4","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_A38","00025e0c","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_A68","00025e3c","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_A90","00025e64","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_AA4","00025e78","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_AB8","00025e8c","Function","Global","User Defined","1","0"
"DSSYS_1_OBJ_AD4","00025ea8","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_AF8","00025ecc","Instruction Label","Global","Imported","1","0"
